"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1139","latency chart filters by service","chromium","2026-04-11","passed","2026-04-11","Chart service selectors","charts.spec.ts","",""
"","750","renders all five widgets","chromium","2026-04-11","passed","2026-04-11","Overview page smoke","overview.smoke.spec.ts","",""
"","787","renders the recent trace list and selects the first trace by default","chromium","2026-04-11","passed","2026-04-11","Trace waterfall","traces.spec.ts","",""
"","789","clicking a different trace updates the waterfall header","chromium","2026-04-11","passed","2026-04-11","Trace waterfall","traces.spec.ts","",""
"","1028","error rate chart filters by service","chromium","2026-04-11","passed","2026-04-11","Chart service selectors","charts.spec.ts","",""
"","742","page loads without console errors","chromium","2026-04-11","passed","2026-04-11","Overview page smoke","overview.smoke.spec.ts","",""
"","901","toggles the dark class on <html>","chromium","2026-04-11","passed","2026-04-11","Theme toggle","theme.spec.ts","",""
"","772","lists all six mock services in the health grid","chromium","2026-04-11","passed","2026-04-11","Overview page smoke","overview.smoke.spec.ts","",""
